2020-05-23 00:44:42      		login     		mailserver.local         		melaina.gabeline@yahoo.com.mx                     
2020-05-15 10:54:11      		logout    		mailserver.local         		sevan.stephco@miho-nakayama.com                   
2020-05-07 11:25:24      		login     		myworkstation.local      		breena.benassi@gmx.net                            
2020-05-14 16:31:34      		logout    		webserver.local          		arti.karshner@mail2perry.com                      
2020-05-12 17:02:10      		login     		mailserver.local         		queen.ham@quiklinks.com                           
2020-05-30 23:01:30      		logout    		mailserver.local         		maryelizabeth.stassen@freesurf.fr                 
2020-05-11 15:04:32      		logout    		myworkstation.local      		lupe.gave@freesurf.fr                             
2020-05-26 13:51:35      		logout    		mailserver.local         		tarrin.evanoff@blacksburg.net                     
2020-05-15 02:21:39      		logout    		mailserver.local         		maryelizabeth.stassen@freesurf.fr                 
2020-05-05 14:16:13      		login     		mailserver.local         		aprilmarie.ulatowski@freesurf.fr                  
2020-05-21 03:53:37      		login     		mailserver.local         		tarrin.naysmith@mail2champaign.com                
2020-05-05 06:17:09      		login     		webserver.local          		melaina.gabeline@yahoo.com.mx                     
2020-05-24 18:24:49      		logout    		myworkstation.local      		kira.pay@mail2zambia.com                          
2020-05-18 12:18:55      		login     		myworkstation.local      		tarrin.scoma@gmx.net                              
2020-05-10 18:43:47      		logout    		myworkstation.local      		catherina.rowles@mail2zambia.com                  
2020-05-28 02:13:16      		logout    		myworkstation.local      		olusegun.flemmings@theraces.com                   
2020-05-28 21:07:29      		logout    		mailserver.local         		catherina.rowles@mail2zambia.com                  
2020-05-24 22:36:58      		logout    		mailserver.local         		queen.ham@quiklinks.com                           
2020-05-18 04:14:53      		login     		mailserver.local         		breena.benassi@gmx.net                            
2020-05-13 02:37:35      		logout    		mailserver.local         		isiah.walson@yahoo.com.mx                         
2020-05-18 13:46:14      		logout    		mailserver.local         		tarrin.scoma@gmx.net                              
2020-05-27 05:14:40      		logout    		mailserver.local         		kirsten.zawistowski@gmx.net                       
2020-05-17 16:36:36      		login     		webserver.local          		torrell.burreson@miho-nakayama.com                
2020-05-14 06:37:20      		logout    		myworkstation.local      		jarita.lokhmator@mail2srilanka.com                
2020-05-18 09:13:42      		logout    		mailserver.local         		tarrin.evanoff@blacksburg.net                     
2020-05-17 04:33:43      		login     		webserver.local          		loriann.ryba@mail2perry.com                       
2020-05-12 08:06:39      		logout    		webserver.local          		melaina.gabeline@yahoo.com.mx                     
2020-05-16 17:23:41      		login     		myworkstation.local      		jakara.pedretti@mail2srilanka.com                 
2020-05-16 08:09:55      		logout    		myworkstation.local      		melaina.gabeline@yahoo.com.mx                     
2020-05-18 01:58:42      		logout    		mailserver.local         		kirsten.zawistowski@gmx.net                       
2020-05-27 18:39:38      		logout    		webserver.local          		remington.caffrey@estranet.it                     
2020-05-17 11:14:15      		logout    		myworkstation.local      		delphine.hillebrand@mail2emergency.com            
